date,code,close,open,high,low,volume,amount,turnover
2016/2/1,CI005016.CI,6475.356,"6,475.36","6,475.36","6,475.36",651.5643,73.4606,1.3369
2016/2/1,CI005017.CI,4047.6007,"4,047.60","4,047.60","4,047.60",483.2618,61.227,1.2728
2016/2/1,CI005018.CI,8169.604,"8,169.60","8,169.60","8,169.60","1,333.17",242.2553,1.3912
2016/2/1,CI005019.CI,6613.9843,"6,613.98","6,613.98","6,613.98",602.5691,83.6141,1.2649
2016/2/1,CI005020.CI,4821.0859,"4,821.09","4,821.09","4,821.09",901.9471,94.5893,2.1934
2016/2/1,CI005021.CI,5112.4451,"5,112.45","5,112.45","5,112.45",965.5055,60.8177,0.0945
2016/2/1,CI005022.CI,6389.5286,"6,389.53","6,389.53","6,389.53","1,317.38",175.9811,0.9661
2016/2/1,CI005023.CI,6344.9222,"6,344.92","6,344.92","6,344.92","2,244.87",212.7445,1.4053
2016/2/1,CI005024.CI,1849.2255,"1,849.23","1,849.23","1,849.23","1,169.35",97.0347,0.6383
2016/2/1,CI005025.CI,4161.6362,"4,161.64","4,161.64","4,161.64","1,752.52",236.4263,1.8462
2016/2/1,CI005026.CI,4215.7441,"4,215.74","4,215.74","4,215.74",810.3204,124.1625,1.5447
2016/2/1,CI005027.CI,5823.189,"5,823.19","5,823.19","5,823.19","1,298.68",301.5277,3.0886
2016/2/1,CI005028.CI,4734.9291,"4,734.93","4,734.93","4,734.93",842.6765,171.0769,1.9791
2016/2/1,CI005029.CI,4956.0946,"4,956.09","4,956.09","4,956.09",691.6019,69.4599,3.2004
2016/2/1,CI005030.CI,1808.3716,"1,808.37","1,808.37","1,808.37",0,0,0
2016/2/2,CI005001.CI,1883.2838,"1,883.28","1,883.28","1,883.28",515.4016,41.8807,0.178
2016/2/2,CI005002.CI,1407.3798,"1,407.38","1,407.38","1,407.38",643.2892,37.1457,0.8647
2016/2/2,CI005003.CI,3832.8728,"3,832.87","3,832.87","3,832.87","1,267.81",130.6756,1.1868
2016/2/2,CI005004.CI,2645.425,"2,645.43","2,645.43","2,645.43","1,298.52",115.544,0.7702
2016/2/2,CI005005.CI,1239.1285,"1,239.13","1,239.13","1,239.13","1,361.16",72.9154,1.0638
