排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
53,时空大数据,BK1130,1658.63,19.67,1.2,376013584000,4.42,20,6,航宇微,6.74
54,BC电池,BK1148,1403.76,16.71,1.2,672095584000,2.83,15,11,杰普特,9.88
55,乳业,BK0892,1133.14,13.01,1.16,452366304000,2.69,20,8,皇氏集团,6.8
56,通用航空,BK0625,6104.87,70.04,1.16,1014139840000,1.86,23,10,西部材料,9.99
57,体育产业,BK0708,1588.02,17.71,1.13,860147040000,2.26,44,26,中体产业,10.03
58,军工,BK0490,90066.86,996.06,1.12,6794744832000,3.54,275,136,派克新材,10.0
59,3D打印,BK0619,8704.78,95.26,1.11,1160117360000,4.17,47,25,恒大高新,10.0
60,近期新高,BK1674,1084.99,11.68,1.09,5124608256000,6.37,76,78,永杉锂业,9.98
61,LED概念,BK0580,4938.88,53.22,1.09,2182648256000,3.24,59,39,光莆股份,20.01
62,小盘成长,BK1667,1056.25,11.29,1.08,6322473728000,3.7,190,137,高新发展,10.01
63,机器人执行器,BK1145,2064.35,21.94,1.07,798850896000,3.27,24,10,步科股份,4.7
64,混合现实,BK1141,1933.86,20.51,1.07,1377569616000,2.6,16,14,凌云光,20.01
65,智能电视,BK0656,1393.91,14.7,1.07,302958160000,1.97,7,5,同洲电子,6.21
66,华为欧拉,BK1013,1323.41,13.85,1.06,220904497000,3.52,10,4,ST创意,3.89
67,毫米波概念,BK1124,2452.18,25.33,1.04,1158421952000,4.53,29,20,陕西华达,10.62
68,减速器,BK1100,1958.3,19.75,1.02,1086866576000,2.96,60,22,长龄液压,9.84
69,鸡肉概念,BK0887,814.25,8.16,1.01,378821600000,1.28,17,2,华统股份,4.01
70,培育钻石,BK1023,2515.12,25.02,1.0,254370946000,2.67,12,4,国机精工,4.13
71,猪肉概念,BK0882,1301.06,12.62,0.98,823066912000,2.79,26,10,天域生物,10.07
72,生物识别,BK0970,1851.59,17.87,0.97,1177312640000,2.7,31,19,航宇微,6.74
73,社保重仓,BK0520,15381.69,147.68,0.97,247919089000,3.03,11,6,西测测试,11.18
74,大盘成长,BK1665,1073.64,10.35,0.97,19574256640000,1.92,49,45,芯原股份,20.0
75,激光雷达,BK1002,2735.27,25.67,0.95,976316960000,3.57,30,13,陕西华达,10.62
76,新型工业化,BK1150,1586.15,14.71,0.94,2723648768000,2.81,69,30,创世纪,20.02
77,荣耀概念,BK1177,2191.37,20.49,0.94,1239544752000,2.59,31,22,聚辰股份,9.96
78,传感器,BK0905,2350.59,21.65,0.93,2397493664000,3.91,77,43,光莆股份,20.01
79,专精特新,BK1005,1778.82,16.29,0.92,13287646976000,3.93,775,454,越剑智能,10.02
80,量子科技,BK0710,3697.96,32.54,0.89,2502902752000,1.5,33,20,中国长城,9.99
81,UWB概念,BK0880,2034.96,17.81,0.88,491396640000,2.66,13,6,信维通信,6.77
