,CI005001.CI,CI005002.CI,CI005003.CI,CI005004.CI,CI005005.CI,CI005006.CI,CI005007.CI,CI005008.CI,CI005009.CI,CI005010.CI,CI005011.CI,CI005012.CI,CI005013.CI,CI005014.CI,CI005015.CI,CI005016.CI,CI005017.CI,CI005018.CI,CI005019.CI,CI005020.CI,CI005021.CI,CI005022.CI,CI005023.CI,CI005024.CI,CI005025.CI,CI005026.CI,CI005027.CI,CI005028.CI,CI005029.CI,CI005030.CI
date,石油石化,煤炭,有色金属,电力及公用事业,钢铁,基础化工,建筑,建材,轻工制造,机械,电力设备及新能源,国防军工,汽车,商贸零售,消费者服务,家电,纺织服装,医药,食品饮料,农林牧渔,银行,非银行金融,房地产,交通运输,电子,通信,计算机,传媒,综合,综合金融
2021-12-31,1.0441,1.0766,2.0344,1.9239,2.6777,3.0085,1.3144,4.8348,2.5150,3.4560,4.1602,1.0446,2.1046,0.8624,7.2272,9.4844,0.7864,3.7261,5.2017,2.5075,2.3071,2.0644,1.6528,2.2975,3.1275,2.1007,3.7037,2.3854,0.7967,0.9947
2022-01-28,1.0721,1.0642,2.2190,2.0148,2.7148,3.1041,1.4453,4.8654,2.7404,3.5043,4.1625,1.0123,2.1492,0.8098,6.7245,9.2914,0.7029,3.4744,5.1368,2.5678,2.5208,2.1570,1.7778,2.2685,3.0243,1.8868,3.5219,2.2801,0.7864,1.0095
2022-02-28,1.0701,1.2388,2.3795,2.1212,2.6837,2.9237,1.3893,4.7457,2.6348,3.3102,4.1106,0.9536,1.9967,0.7657,6.6988,9.0220,0.6612,3.3685,5.0491,2.4146,2.5904,2.1377,1.7173,2.3511,2.9707,1.9414,3.1896,2.2495,0.8507,0.9195
2022-03-31,0.9885,1.3575,2.6281,2.1377,2.5283,2.5501,1.4677,4.5646,2.4592,3.2102,4.1749,0.8620,1.7848,0.7037,5.9373,8.4278,0.5930,3.1365,4.7980,2.4770,2.4585,1.9882,1.7097,2.2109,2.8740,1.7932,2.7891,2.0900,0.7050,0.8734
2022-04-29,0.9664,1.4163,2.7054,2.3328,2.2697,2.7459,1.6179,4.8569,2.5808,3.1132,4.4291,0.9331,1.7660,0.8180,5.9968,8.7718,0.6828,3.1827,4.9301,2.4152,2.3118,1.9344,1.8818,2.2584,2.8482,1.8062,3.0618,2.2624,0.7999,0.9077
2022-05-31,1.0899,1.5787,2.4239,2.4726,2.0427,3.0116,1.5160,4.6716,2.3733,3.1668,4.4453,0.8927,1.7549,0.7202,6.0097,8.5689,0.6308,3.1381,4.8464,2.2219,2.3563,1.8890,1.6355,2.3074,2.8995,1.8230,3.0955,2.1899,0.7361,0.8994
2022-06-30,1.0565,1.6839,2.3691,2.3810,1.9084,3.2122,1.5690,5.2361,2.6524,3.5381,5.1357,0.9465,1.8331,0.6528,6.6895,9.1822,0.6177,3.3862,5.2140,2.4770,2.5303,1.9188,1.7327,2.4668,2.7749,1.9370,3.3461,2.3867,0.7029,0.7964
2022-07-29,1.0653,1.7608,2.3945,2.4252,1.8409,3.0232,1.5029,4.5332,2.2560,3.0697,5.0025,0.8500,1.7990,0.5623,6.9116,8.7577,0.6111,3.4306,5.1666,2.4889,2.2811,1.8655,1.5212,2.4023,2.7022,1.9710,3.2556,2.2581,0.6895,0.6456
2022-08-31,1.0976,1.8946,2.3997,2.3927,1.7266,3.0706,1.6422,4.0760,2.2662,3.0795,5.0066,0.8096,1.8612,0.5851,6.6179,8.4405,0.6313,3.4179,5.1842,2.4958,2.2070,1.9068,1.6376,2.5111,2.6540,1.8664,3.2993,2.3693,0.7316,0.6545
2022-09-30,1.0980,1.9449,2.4237,2.3632,1.6343,3.1656,1.6636,3.8021,2.1712,3.0356,4.9380,0.8853,1.8596,0.5556,6.5641,8.3727,0.6686,3.4476,5.0928,2.3518,2.1108,1.8238,1.7136,2.5804,2.5566,1.9172,3.2024,2.3211,0.6411,0.6607
2022-10-31,1.0681,1.9473,2.5118,2.2182,1.5334,2.8999,1.5944,3.3908,1.9329,2.9709,4.9034,0.9391,1.7366,0.5145,5.8842,7.3251,0.6459,3.3810,4.3528,2.1992,1.8165,1.7339,1.5943,2.5117,2.5094,1.9677,2.9680,2.0250,0.6190,0.7007
2022-11-30,1.1262,1.9932,2.9458,2.0893,1.8708,2.7934,1.7082,4.2062,2.0913,3.0014,4.7876,0.8976,1.8138,0.6479,6.1065,8.5205,0.6825,3.2854,4.5800,2.2007,2.1632,2.2007,1.5042,2.5609,2.5140,1.8087,2.6095,2.3035,0.6719,0.7192
2022-12-30,1.0548,1.8033,2.9883,1.9711,1.8722,2.6277,1.6798,4.5995,2.2734,3.0295,4.7669,0.8957,1.7668,0.7068,6.5266,9.4384,0.6573,3.4207,4.9090,2.2773,2.2569,2.2987,1.7529,2.5567,2.2892,1.8699,2.6663,2.6304,0.5191,0.8415
2023-01-31,1.1686,1.8296,3.4855,1.9217,2.1388,2.7325,1.6483,4.6926,2.3412,3.1429,5.0458,0.9416,1.9104,0.8309,6.9481,9.7122,0.7750,3.5051,5.2290,2.2924,2.4969,2.7891,1.7199,2.4303,2.5242,1.8744,2.7927,2.9365,0.5530,1.1227
