,沪深300,新华商品指数,债券指数,标普500,上证50,纳斯达克100,中证REITs
2024-05-10,3666.2771,2671.34,230.6634,5222.68,2508.5753,18161.1797,948.8046
2024-05-11,,,230.3158,,,,
2024-05-13,3664.6907,2675.91,231.0284,5221.42,2506.4593,18198.6094,944.8567
2024-05-14,3657.0454,2663.34,231.2093,5246.68,2496.7361,18322.7695,943.0968
2024-05-15,3626.0559,2660.37,231.1433,5308.15,2477.3895,18596.6504,939.6339
2024-05-16,3640.3592,2687.3,230.9506,5297.1,2489.4139,18557.9609,940.9242
2024-05-17,3677.9696,2725.16,230.8612,5303.27,2524.1705,18546.2305,942.0838
2024-05-20,3690.9623,2763.94,231.0211,5308.13,2532.824,18674.1895,938.9419
2024-05-21,3676.1611,2758.82,230.9736,5321.41,2525.2326,18713.8008,936.1355
2024-05-22,3684.451,2773.84,231.0975,5307.01,2529.0398,18705.1992,933.1968
2024-05-23,3641.7917,2733.38,231.3473,5267.84,2500.821,18623.3906,931.3991
2024-05-24,3601.4754,2740.97,231.3733,5304.72,2474.4254,18808.3496,937.6735
2024-05-27,3635.7079,2741.64,231.3905,,2497.6006,,938.9352
2024-05-28,3609.1724,2750.97,231.6184,5306.04,2490.1614,18869.4395,937.2869
2024-05-29,3613.5223,2781.64,231.8065,5266.95,2493.1691,18736.75,936.6616
2024-05-30,3594.3121,2741.68,231.758,5235.48,2473.758,18538.6602,933.6742
2024-05-31,3579.9247,2727.22,231.6248,5277.51,2462.1831,18536.6504,933.481
2024-06-03,3588.7483,2678.05,231.8063,5283.4,2469.0165,18600.9707,932.7918
2024-06-04,3615.6714,2658.78,231.8809,5291.34,2483.3189,18654.8398,933.4105
2024-06-05,3594.7936,2636.77,232.0647,5354.03,2468.1918,19035.0508,936.4559
2024-06-06,3592.2454,2669.31,232.144,5352.96,2467.8865,19021.1895,938.1931
2024-06-07,3574.1143,2680.41,232.2135,5346.99,2457.2569,19000.9492,937.9199
2024-06-10,,,,5360.79,,19074.6699,
2024-06-11,3542.8771,2641.53,232.3825,5375.32,2423.6184,19210.1797,935.132
2024-06-12,3544.1225,2658.89,232.4102,5421.03,2423.607,19465.1797,933.2771
2024-06-13,3526.1306,2649.35,232.5108,5433.74,2412.0736,19576.9199,936.2402
2024-06-14,3541.5331,2652.78,232.7805,5431.6,2426.509,19659.8008,937.2306
2024-06-17,3536.1986,2618.58,232.7964,5473.23,2416.3414,19902.75,933.9588
2024-06-18,3545.5902,2629.91,233.0328,5487.03,2415.4281,19908.8594,933.4181
2024-06-19,3528.749,2647.86,233.1928,,2413.9722,,933.2744
