,850531.SL,STIP.P,000300.SH,HSI.HK,SPX.GI,N225.GI,BRN0Y.ICE,CU00.SHF,CBA02001.CB,CBA00603.CB,
,黄金,美国国债0-5年期债券,沪深300,恒生指数,标普500,日经225,布伦特原油连续,沪铜连续,中债企业债总指数(总值)财富指数,中债国债总指数(总值)全价指数,
2020-10-29,9353.59,83.9385,4772.9198,24586.6,3310.1101,23331.94,37.62,51450,196.7476,120.4833,
2020-10-30,9232.66,83.9061,4695.3338,24107.42,3269.96,22977.13,37.45,50950,196.7655,120.5383,
2020-11-02,9459.64,83.942,4720.8313,24460.01,3310.24,23295.48,39.24,51050,196.8468,120.6202,
2020-11-03,9905.8,83.9827,4777.5608,24939.73,3369.1599,--,40.16,51730,196.8906,120.6624,
2020-11-04,9857.39,83.9258,4813.6564,24886.14,3443.4399,23695.23,41.2,51570,196.9481,120.722,
2020-11-05,9911.47,83.942,4885.1118,25695.92,3510.45,24105.28,40.8,51430,196.996,120.6145,
2020-11-06,10199.94,83.8525,4885.7178,25712.97,3509.4399,24325.23,40.09,51420,197.0237,120.4902,
2020-11-09,10389.77,83.9502,4981.3497,26016.17,3550.5,24839.84,42.02,51830,197.0581,120.3682,
2020-11-10,9891.88,84.0559,4953.8756,26301.48,3545.53,24905.59,44.05,51550,197.0292,120.4077,
2020-11-11,9717.86,84.0559,4904.8981,26226.98,3572.6599,25349.6,43.77,51890,196.9947,120.3954,
2020-11-12,9772.1,84.0397,4908.463,26169.38,3537.01,25520.88,43.27,51800,196.8672,120.3027,
2020-11-13,9753.68,84.0397,4856.8513,26156.86,3585.1499,25385.87,42.63,52150,196.5924,120.2087,
2020-11-16,10208,84.0559,4904.1716,26381.67,3626.9099,25906.93,43.89,53690,196.5406,120.2282,
2020-11-17,10122.12,84.0803,4894.786,26415.09,3609.53,26014.62,43.78,52850,196.4404,120.1312,
2020-11-18,10257.78,84.0722,4891.6716,26544.29,3567.79,25728.14,44.13,52950,196.3129,119.9316,
2020-11-19,10168.72,84.1048,4927.9891,26356.97,3581.8701,25634.34,44.17,52660,196.1573,119.7592,
2020-11-20,10610.98,84.117,4943.2882,26451.54,3557.54,25527.37,45.24,53410,195.9661,119.8327,
2020-11-23,10779.19,84.1414,5005.0273,26486.2,3577.5901,--,45.83,53880,196.046,119.9038,
2020-11-24,10615.71,84.2268,4974.2855,26588.2,3635.4099,26165.59,47.91,54670,196.0944,119.8217,
2020-11-25,10239.45,84.2756,4910.7,26669.75,3629.6499,26296.86,48.9,54460,196.0855,119.9024,
2020-11-26,10363.15,--,4919.5912,26819.45,--,26537.31,47.73,55220,196.1061,119.88,
2020-11-27,10435.64,84.3366,4980.765,26894.68,3638.3501,26644.71,48.27,56060,196.1192,119.8388,
2020-11-30,10637.99,84.3651,4960.2519,26341.49,3621.6299,26433.62,47.59,57800,196.3211,120.2133,
2020-12-01,10737.99,84.3303,5067.0983,26567.68,3662.45,26787.54,47.25,57000,196.4273,120.1381,
2020-12-02,10749.84,84.4117,5067.1447,26532.58,3669.01,26800.98,47.97,57130,196.4487,120.009,
2020-12-03,10424.22,84.4891,5057.0603,26728.5,3666.72,26809.37,48.82,56880,196.4742,120.0529,
2020-12-04,10591.22,84.5584,5065.9163,26835.92,3699.1201,26751.24,49.03,57340,196.4943,120.1829,
2020-12-07,10350.56,84.6562,5022.2351,26506.85,3691.96,26547.44,48.66,57000,196.5862,120.0765,
2020-12-08,10506.08,84.6602,5009.8786,26304.56,3702.25,26467.08,48.85,56910,196.5921,120.2407,
2020-12-09,10250.85,84.6317,4942.6986,26502.84,3672.8201,26817.94,48.98,57170,196.6237,120.2397,
2020-12-10,10068.64,84.6969,4940.5249,26410.59,3668.1001,26756.24,50.43,57360,196.6938,120.3111,
2020-12-11,9934.85,84.7132,4889.6292,26505.87,3663.46,26652.52,50.07,57750,196.6961,120.1362,
2020-12-14,9973.48,84.7539,4934.8352,26389.52,3647.49,26732.44,50.36,57780,196.7633,120.1845,
2020-12-15,9925.85,84.8272,4945.1,26207.29,3694.6201,26687.84,50.69,57620,196.8314,120.2729,
2020-12-16,9939.05,84.8843,4953.867,26460.29,3701.1699,26757.4,51.16,57850,196.9028,120.3453,
2020-12-17,10280.66,84.9232,5017.4784,26678.38,3722.48,26806.67,51.5,58620,196.9158,120.3177,
2020-12-18,10518.47,84.9313,4999.9678,26498.6,3709.4099,26763.39,52.37,59260,196.9491,120.3485,
