trade_date,沪深300,中证500,中证1000,上证指数
2020-07-24,4505.5906,6283.9831,6784.6347,3196.7684
2020-07-27,4528.45,6298.7351,6786.529,3205.2268
2020-07-28,4568.2576,6359.6637,6857.9427,3227.9604
2020-07-29,4679.008,6530.2712,7060.5347,3294.5521
2020-07-30,4656.1506,6511.436,7048.9813,3286.822
2020-07-31,4695.0462,6579.6696,7141.592,3310.0065
2020-08-03,4771.3108,6739.8085,7373.3412,3367.9658
2020-08-04,4775.8024,6697.7071,7326.1893,3371.6875
2020-08-05,4777.1089,6772.8422,7427.1891,3377.5648
2020-08-06,4762.7642,6770.3016,7432.7659,3386.4631
2020-08-07,4707.9262,6688.8822,7339.8113,3354.0352
2020-08-10,4724.8697,6725.2956,7358.862,3379.2524
2020-08-11,4681.7837,6600.8472,7213.4452,3340.29
2020-08-12,4647.6446,6528.3999,7092.355,3319.2656
2020-08-13,4635.7126,6552.6567,7113.9297,3320.7261
2020-08-14,4704.6288,6623.5633,7183.9582,3360.0988
2020-08-17,4815.2261,6744.5468,7339.6933,3438.801
2020-08-18,4812.7564,6789.3979,7410.2411,3451.0894
2020-08-19,4740.6784,6666.274,7256.1312,3408.1288
2020-08-20,4679.1544,6593.785,7151.261,3363.8988
2020-08-21,4718.8431,6643.9444,7194.274,3380.6825
2020-08-24,4755.8491,6688.9647,7253.6399,3385.6383
2020-08-25,4761.9507,6652.5478,7213.6824,3373.5781
2020-08-26,4706.1302,6525.8786,7037.9776,3329.7388
2020-08-27,4731.3451,6578.7912,7113.8036,3350.1128
2020-08-28,4844.2652,6691.2096,7204.7816,3403.8066
2020-08-31,4816.2153,6668.4331,7224.0458,3395.6775
2020-09-01,4842.1223,6710.4599,7258.8872,3410.6068
2020-09-02,4843.887,6717.5579,7272.6243,3404.8017
2020-09-03,4817.0952,6662.2515,7189.8606,3384.9806
2020-09-04,4770.219,6618.5762,7182.1053,3355.3666
2020-09-07,4669.3677,6478.8124,7057.1942,3292.5907
2020-09-08,4694.3894,6525.098,7103.0863,3316.417
2020-09-09,4584.5887,6349.2234,6877.602,3254.6279
2020-09-10,4581.9775,6235.5687,6633.8901,3234.8234
2020-09-11,4627.2826,6311.967,6742.0594,3260.3461
2020-09-14,4651.0507,6351.2422,6848.3586,3278.8138
2020-09-15,4688.4826,6387.8805,6881.5858,3295.6795
2020-09-16,4657.3584,6353.836,6812.9115,3283.9244
2020-09-17,4632.7142,6367.0206,6825.1524,3270.435
