ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
000563.SZ,20150105,144582,18071.12,135967,17021.44,128974,16137.21,127908,16017.58,67446,8460.56,73714,9220.11,11367,1427.08,14781,1836.86,-12873,-1569.94
000565.SZ,20150105,8243,1096.57,7150,954.59,8215,1091.7,8302,1105.49,6009,804.28,6233,826.69,18,2.44,800,108.22,1524,202.32
000566.SZ,20150105,20480,3027.23,15079,2230.67,26720,3948.8,26876,3969.38,15479,2290.66,17097,2530.21,1320,195.47,4947,731.89,-10855,-1603.03
000567.SZ,20150105,6040,690.14,5697,651.54,6866,780.36,5400,616.42,1430,161.59,1288,145.61,0,0.0,1951,218.51,3532,399.13
000568.SZ,20150105,124332,26489.17,141437,30152.31,175403,37273.08,189658,40381.58,183374,38957.59,176591,37512.82,109939,23403.11,85362,18076.23,80393,17217.98
000570.SZ,20150105,19862,1737.92,16224,1420.91,15291,1337.57,15603,1365.55,3925,344.75,5857,512.42,0,0.0,1395,121.37,2214,194.31
000571.SZ,20150105,311710,17100.74,339390,18628.8,223655,12266.45,216844,11899.11,125753,6927.43,118578,6515.66,48778,2692.05,35085,1943.11,81770,4459.54
000572.SZ,20150105,143095,7715.03,134393,7244.3,205390,11068.31,163192,8792.02,153752,8316.28,164323,8878.99,29057,1573.62,69387,3757.92,7270,387.47
000573.SZ,20150105,71345,3578.55,64785,3250.52,81628,4094.42,67248,3373.79,43996,2206.74,55754,2795.51,2087,104.35,11269,564.23,-621,-29.12
000576.SZ,20150105,8466,1017.79,5771,695.75,15821,1903.39,13093,1578.3,9539,1150.29,12826,1543.58,1779,214.4,3915,468.24,-6361,-763.54
000581.SZ,20150105,47460,13200.63,53781,14959.97,56461,15648.25,70826,19691.17,57375,15947.84,49151,13682.13,31230,8749.96,18767,5213.41,31244,8762.64
000582.SZ,20150105,20314,3740.77,18453,3402.11,20545,3783.79,19137,3522.62,7266,1333.9,10535,1933.73,0,0.0,0,0.0,-7417,-1358.76
000585.SZ,20150105,58600,2405.72,58919,2418.59,42812,1757.06,39397,1616.57,15575,637.61,12531,513.5,0,0.0,6140,251.72,7845,325.12
000587.SZ,20150105,27329,2959.43,24766,2683.43,33589,3638.22,31684,3431.47,22935,2482.3,25875,2800.83,2454,266.67,3982,430.88,-6142,-660.86
000589.SZ,20150105,41263,2804.82,41081,2794.34,36988,2513.53,36940,2509.22,19689,1342.83,20833,1420.38,915,62.77,0,0.0,6671,455.29
000592.SZ,20150105,51414,8642.05,43066,7246.86,66889,11245.73,62199,10465.2,46171,7772.02,53265,8952.99,25634,4317.15,31578,5311.89,-8065,-1371.1
000593.SZ,20150105,17182,1314.64,17320,1327.99,14716,1127.19,15127,1159.09,6417,493.03,7564,579.6,1696,131.83,0,0.0,2122,166.06
000595.SZ,20150105,53529,4185.32,46584,3648.53,38432,3004.95,36757,2873.17,14655,1148.42,20980,1639.52,0,0.0,2294,177.45,-13502,-1049.72
000596.SZ,20150105,24368,9283.78,26498,10136.85,33888,12948.72,35316,13503.51,33304,12737.42,33246,12675.87,11181,4323.22,7682,2976.91,7201,2792.75
000597.SZ,20150105,30787,3198.21,18154,1887.41,27220,2828.29,18013,1871.58,20257,2104.26,35904,3730.51,1218,126.7,7410,767.97,-25979,-2695.49
000598.SZ,20150105,474142,36245.95,443425,33925.86,403176,30850.6,397122,30383.0,275771,21126.3,293382,22456.04,145023,11085.3,164183,12543.25,34534,2733.43
000599.SZ,20150105,40681,2415.04,41793,2485.75,40000,2369.63,37230,2205.38,17278,1021.41,20248,1196.91,6694,403.48,5381,321.51,3918,231.62
000600.SZ,20150105,127646,13646.17,139085,14868.1,155970,16668.82,163901,17522.21,111971,11965.99,89549,9576.29,23236,2495.7,26289,2810.08,20841,2223.14
000601.SZ,20150105,71262,4231.84,75962,4535.4,86146,5111.88,87880,5236.37,56557,3368.45,73266,4358.95,44072,2651.58,20929,1233.02,24542,1499.38
000603.SZ,20150105,47339,6032.76,52796,6737.46,39793,5081.42,39806,5087.28,17499,2224.37,12644,1603.0,3898,503.79,3282,414.59,4906,643.55
