trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
2017-09-28,SSE,578224273633.0,20793760783.0,22092938816.0,3390141010.0,51576802.0,581614414643.0,
2017-09-28,SZSE,402329811220.0,22117229938.0,23136459988.0,890082112.0,12699301.0,403219893332.0,
2017-09-29,SSE,570083581576.0,18403774027.0,26544466084.0,3063587903.0,14008866.0,573147169479.0,
2017-09-29,SZSE,395617878935.0,21205501340.0,27917433625.0,733256278.0,6001572.0,396351135213.0,
2017-10-09,SZSE,402844790525.0,32510062183.0,25283150593.0,928213119.0,22399652.0,403773003644.0,
2017-10-09,SSE,578682092143.0,32575427391.0,23976916824.0,3416567962.0,80668836.0,582098660105.0,
2017-10-10,SSE,583145677767.0,29129605458.0,24666019834.0,3447916434.0,66838440.0,586593594201.0,
2017-10-10,SZSE,405080709764.0,27771544898.0,25535625659.0,908158650.0,16184996.0,405988868414.0,
2017-10-11,SSE,583522843846.0,25301765202.0,24924599123.0,3614850268.0,124366436.0,587137694114.0,
2017-10-11,SZSE,406524057405.0,28610281460.0,27166933819.0,985178011.0,16177881.0,407509235416.0,
2017-10-12,SSE,583464735903.0,23778972170.0,23837080113.0,3823521864.0,140285712.0,587288257767.0,
2017-10-12,SZSE,406759806457.0,23290460257.0,23054711205.0,939397229.0,12638116.0,407699203686.0,
2017-10-13,SZSE,407030215382.0,23108267213.0,22837858288.0,981543255.0,19242434.0,408011758637.0,
2017-10-13,SSE,582562628235.0,19444343723.0,20346451391.0,3411703160.0,83506576.0,585974331395.0,
2017-10-16,SZSE,407025279896.0,28094472917.0,28099408403.0,967659091.0,17942867.0,407992938987.0,
2017-10-16,SSE,583759038774.0,26676245565.0,25479835026.0,3498468733.0,76783181.0,587257507507.0,
2017-10-17,SSE,584023686833.0,17522502561.0,17257854502.0,3427935444.0,82068337.0,587451622277.0,
2017-10-17,SZSE,406433286184.0,18834344807.0,19426338519.0,926130904.0,12103501.0,407359417088.0,
2017-10-18,SSE,581592266640.0,20201858871.0,22633279064.0,3601203661.0,81025125.0,585193470301.0,
2017-10-18,SZSE,405214775637.0,20737936077.0,21956446624.0,1026953527.0,16707709.0,406241729164.0,
2017-10-19,SSE,579306498080.0,20408730538.0,22694499098.0,3554960263.0,60065739.0,582861458343.0,
2017-10-19,SZSE,404467632240.0,20735251769.0,21482395166.0,964149733.0,14394082.0,405431781973.0,
2017-10-20,SZSE,403490065193.0,17023652341.0,18001219388.0,925054223.0,12097233.0,404415119416.0,
2017-10-20,SSE,578649055545.0,17650041440.0,18307483975.0,3403723659.0,38321782.0,582052779204.0,
2017-10-23,SSE,580901689048.0,19180931506.0,16928298003.0,3471614829.0,52887181.0,584373303877.0,
2017-10-23,SZSE,404856421571.0,18472725524.0,17106369146.0,920620975.0,13384270.0,405777042546.0,
2017-10-24,SSE,578877370713.0,18074355996.0,20098674331.0,3724863881.0,86145437.0,582602234594.0,
2017-10-24,SZSE,403614833155.0,18535754471.0,19777342887.0,993588372.0,15886874.0,404608421527.0,
